"id","nombre","fecha_genero","eliminado","codigo","marca","unidad"
29140,"Perno sólido rectificado de 1/8”ø x 1/2” largo. Material: Ac. Carbon
","2024-06-17",False,"GTR010","S/M","Pieza"
29307,"Nipolet 1""  Clase 3000LBS de acero al carbono ASTM soldable-roscado A105/A106","2024-07-22",False,"NIPLT1""SOL/RSC-AC","S/M","Pieza"
29596,"Nipolet 1""  Clase 3000LBS de acero al carbono ASTM soldable-soldable  A105/A106","2024-09-30",False,"NIPLT1""SOL/SOL-AC","S/M","Pieza"
29597,"Nipolet 2""  Clase 3000LBS de acero al carbono ASTM soldable-soldable  A105/A106","2024-09-30",False,"NIPLT2""SOL/SOL-AC","S/M","Pieza"
29598,"Nipolet 2""  Clase 3000LBS de acero al carbono ASTM soldable-roscado A105/A106","2024-09-30",False,"NIPLT1""SOL/ROS-AC","S/M","Pieza"
29855,"Polly Pig de Limpieza de 22"" de Alta Densidad (Modelo LP-HW)","2024-12-06",False,"TCN030","LIMPRO","Pieza"
29856,"Polly Pig de Limpieza de 24"" de Alta Densidad (Modelo LP-HW)","2024-12-06",False,"TCN030","LIMPRO","Pieza"
29857,"Polly Pig de Limpieza de 22"" de Media Densidad (Modelo LP-MX)","2024-12-06",False,"TCN030","LIMPRO","Pieza"
29858,"Polly Pig de Limpieza de 24"" de Media Densidad (Modelo LP-MX)","2024-12-06",False,"TCN030","LIMPRO","Pieza"
29869,"Banco de batería para rack de telecomunicaciones Mod: UPS Complet 2000 VA","2024-12-10",False,"TIT011","COMPLET","Pieza"
29870,"Adhesivo, Aditivo y sellador - Adhetop","2024-12-10",False,"TCN012","COMEX","Ltrs"
29871,"Flota de esponja ","2024-12-10",False,"THR024","S/M","Pieza"
29872,"Fibra de polipropileno 100% virgen - Fibrafest","2024-12-10",False,"TCN044","FESTER","Kg"
29873,"Switch interruptor cola de rata 1 paso de 15A","2024-12-10",False,"TRF025","S/M","Pieza"
29874,"Switch interruptor cola de rata 2 pasos 15ª","2024-12-10",False,"TRF025","S/M","Pieza"
29875,"Switch botón marcha claxon momentáneo hule grueso push","2024-12-10",False,"TRF025","S/M","Pieza"
29876,"DOT-C2 Cinta de seguridad reflejante de 2""","2024-12-10",False,"TCN015","S/M","Pieza"
29877,"Bomba de agua motor Perkins 403D-11.","2024-12-10",False,"THR017","PERKINS","Pieza"
29933,"Barra hueca acero al carbon ø 1 1/4"" x ø 5/8"" x 8"" largo","2025-01-14",False,"GAC002",NULL,"Pieza"
29934,"Barra hueca acero al carbón ø 3"" x ø 2 1/2"" x 13"" largo ","2025-01-14",False,"GAC002",NULL,"Pieza"
29935,"Servicio de torque controlado","2025-01-14",False,"TSV058",NULL,"SRV"
25384,"Barra de acero 1018 red 3.250 x 3","2023-08-11",False,"GPT-6061-T6-3 X 2",NULL,"Pieza"
29599,"Válvula de bola 1"" 3000Lbs extremos soldable (Socket Weld ), cuerpo de acero al carbono, internos estándar para servicio WOG","2024-09-30",False,"VBLA1""3000#SW","S/M","Pieza"
29308,"Válvula de bola 1"" 3000Lbs extremos soldable (Socket Weld ) – Roscados, cuerpo de acero al carbono, internos estándar para servicio WOG","2024-07-22",False,"VBLA1""3000-SW/RSC","S/M","Pieza"
29600,"Válvula de bola 2"" 3000Lbs extremos soldable (Socket Weld ) – Roscados, cuerpo de acero al carbono, internos estándar para servicio WOG","2024-09-30",False,"VBLA2""3000-SW/RSC","S/M","Pieza"
29601,"Válvula de bola 2"" 3000Lbs extremos soldable (Socket Weld ),  cuerpo de acero al carbono, internos estándar para servicio WOG","2024-09-30",False,"VBLA2""3000#SW","S/M","Pieza"
29859,"Barra redonda sólida Ø 8.250"" x 2.125 Mat. 1045","2024-12-06",False,"GAC002","S/M","Mt(s)"
26338,"Juego de 19 desarmadores ","2023-08-11",False,"THR025","URREA","Juego"
29878,"Juego de dagos - código CH203","2024-12-10",False,"THR026","URREA","Juego"
29937,"Generador industrial, Modelo: EB10000, de 5500 vatios
","2025-01-15",False,"THR026","HONDA","Pieza"
29938,"Manga de capa para soldar, 3221","2025-01-15",False,"TEP017","TILLMAN","Pieza"
29939,"Gel con Atomizador – Fórmula antigoteo S-18803","2025-01-15",False,"TQM013","GOO GONE","Pieza"
29936,"Servicio de mantenimiento y calibración a máquina de soldar - Modelo: FLEXTEC 500X
","2025-01-15",False,"TSV021","LINCOLN","SRV"
29602,"Sockolet 8"" x 1.5"" NPS clase 3000 ASTM  A105 MSS SP-97 ","2024-10-03",False,"SCK8X1.5-3000A105","S/M","Pieza"
29879,"Llaves combinadas Código: COM27M","2024-12-10",False,"THR005","SURTEK","Juego"
29880,"Llave ajustable 24"" - Código 724","2024-12-10",False,"THR005","S/M","Pieza"
29881,"Llave ajustable 10"" - Código 710","2024-12-10",False,"THR005","S/M","Pieza"
29940,"Tornillo cabeza hexagonal de 7/8""-9 UNC X 4"" de largo","2025-01-15",False,"GTR001","S/M","Pieza"
29941,"Manguera hidráulica 3/8 X 1.10 mts con conexiones hembra JIC 3/8 ambos extremos","2025-01-15",False,"GPC015","S/M","Pieza"
29942,"Manguera hidráulica 3/4 X 1.05 mts con conexiones hembra JIC 3/4 ambos extremos","2025-01-15",False,"GPC015","S/M","Pieza"
25220,"Adaptador tipo rf clase 300 de 4","2023-08-11",False,"GPT-ATM-4-600-RTJ-03",NULL,"Pieza"
29603,"Resorte para HHD (PosiTest Detector Holiday Alto Voltaje de Pulso 35kV) ","2024-10-04",False,"GSNPSTST","DeFelsko","Pieza"
29882,"Pinza para anillos de retención Código:382","2024-12-10",False,"THR027","URREA","Pieza"
29883,"Pinza de electricista de punta Codigo: 2292GX ","2024-12-10",False,"THR027","URREA","Pieza"
29884,"Pinza de extensión Codigo: 274GI","2024-12-10",False,"THR027","URREA","Pieza"
29885,"Pinza mecánica Codigo: 276G","2024-12-10",False,"THR027","URREA","Pieza"
29886,"Pinza Ponchadora Codigo: 299","2024-12-10",False,"THR027","URREA","Pieza"
29888,"Pinza de presión punta Codigo: PNLB9","2024-12-10",False,"THR027","URREA","Pieza"
29889,"Pinza de presión tipo C Codigo: PCB11","2024-12-10",False,"THR027","URREA","Pieza"
29887,"Pinza de presión Codigo: 292WR6","2024-12-10",False,"THR027","URREA","Pieza"
29944,"Brida de cuello largo de 2” 600# RF Ced. 40 X 9” longitud. Material: ASTM A-105","2025-01-17",False,"GPC014",NULL,"Pieza"
25221,"Adaptador tipo rf clase 300 de 4","2023-08-11",False,"GPT-ATM-4-600-RF-03",NULL,"Pieza"
29604,"Cepillo plano para HHD, 1219mm/48"" (PosiTest Detector Holiday Alto Voltaje de Pulso 35kV) ","2024-10-04",False,"TCN036","DeFelsko","Pieza"
29890,"Inserto de corte 2.250"" Código 181127-15 con recubrimiento TIN","2024-12-11",False,"GCN031","S/M","Pieza"
29945,"Conexión reducción bushing de 3/4'' X 1/2'' NPT","2025-01-20",False,"GCN040",NULL,"Pieza"
29605,"Bobina de resorte rodante para tubo de 8"" (203 mm) de diámetro exterior, modelo: HHDSPRING8","2024-10-07",False,"B8""/HHDSPRING8","TWILIGHT","Pieza"
29606,"Bobina de resorte rodante para tubo de 12"" (304 mm) de diámetro exterior, modelo: HHDSPRING12","2024-10-07",False,"B12""/HHDSPRING12","TWILIGHT","Pieza"
29607,"Bobina de resorte rodante para tubo de 14"" (356 mm) de diámetro exterior, modelo: HHDSPRING14","2024-10-07",False,"B14""/HHDSPRING14","TWILIGHT","Pieza"
29608,"Bobina de resorte rodante para tubo de 16"" (406 mm) de diámetro exterior, modelo: HHDSPRING16","2024-10-07",False,"B16""/HHDSPRING16","TWILIGHT","Pieza"
